dz,place,distance,LSOA01NM,TTWA01CD,TTWA01CDO,TTWA01NM,LAD07CD,LAD07NM,area
S01001559,Edinburgh,14503.10424559299,NA,S22000012,079,Edinburgh,210,East Lothian,140288.43404569742
S01001560,Edinburgh,8762.106579718009,NA,S22000012,079,Edinburgh,210,East Lothian,4422774.745560589
S01001561,Edinburgh,11381.508095083573,NA,S22000012,079,Edinburgh,210,East Lothian,7671343.922727512
S01001562,Edinburgh,14235.144443844581,NA,S22000012,079,Edinburgh,210,East Lothian,6167271.117147005
S01001563,Edinburgh,8583.176936594708,NA,S22000012,079,Edinburgh,210,East Lothian,120906.29365405289
S01001564,Edinburgh,8129.913784730032,NA,S22000012,079,Edinburgh,210,East Lothian,121162.66108623169
S01001565,Edinburgh,8287.443960105567,NA,S22000012,079,Edinburgh,210,East Lothian,102814.90046277536
S01001566,Edinburgh,7806.557222287787,NA,S22000012,079,Edinburgh,210,East Lothian,128074.26400191443
S01001567,Edinburgh,15517.532965700057,NA,S22000012,079,Edinburgh,210,East Lothian,148320.92279501146
S01001568,Edinburgh,9103.249854762134,NA,S22000012,079,Edinburgh,210,East Lothian,1034810.9625991093
S01001569,Edinburgh,14568.395947545785,NA,S22000012,079,Edinburgh,210,East Lothian,124939.9557367476
S01001570,Edinburgh,7441.2560297682085,NA,S22000012,079,Edinburgh,210,East Lothian,119462.80855800005
S01001571,Edinburgh,11189.64128655667,NA,S22000012,079,Edinburgh,210,East Lothian,106945.45306042148
S01001572,Edinburgh,7961.68949824564,NA,S22000012,079,Edinburgh,210,East Lothian,70425.00914319894
S01001574,Edinburgh,9854.272540789518,NA,S22000012,079,Edinburgh,210,East Lothian,247663.1219849586
S01001575,Edinburgh,8203.938123583732,NA,S22000012,079,Edinburgh,210,East Lothian,140718.28386339522
S01001576,Edinburgh,15716.110980421998,NA,S22000012,079,Edinburgh,210,East Lothian,123344.25894839529
S01001577,Edinburgh,15256.105707374689,NA,S22000012,079,Edinburgh,210,East Lothian,108905.77756686434
S01001578,Edinburgh,17778.196240155787,NA,S22000012,079,Edinburgh,210,East Lothian,173989.51161578705
S01001579,Edinburgh,11070.001290609749,NA,S22000012,079,Edinburgh,210,East Lothian,271431.9969516386
S01001580,Edinburgh,9442.03607724558,NA,S22000012,079,Edinburgh,210,East Lothian,80428.93819020657
S01001581,Edinburgh,7752.149341541747,NA,S22000012,079,Edinburgh,210,East Lothian,96506.55870504265
S01001582,Edinburgh,11498.736330487725,NA,S22000012,079,Edinburgh,210,East Lothian,189846.26340280732
S01001583,Edinburgh,9806.750139661388,NA,S22000012,079,Edinburgh,210,East Lothian,70176.98371307204
S01001584,Edinburgh,8061.103011543849,NA,S22000012,079,Edinburgh,210,East Lothian,236493.47986606334
S01001585,Edinburgh,8944.222355726692,NA,S22000012,079,Edinburgh,210,East Lothian,136879.0997869105
S01001586,Edinburgh,7285.8487036343,NA,S22000012,079,Edinburgh,210,East Lothian,504949.7351022047
S01001587,Edinburgh,15008.86046686993,NA,S22000012,079,Edinburgh,210,East Lothian,215792.57418015628
S01001588,Edinburgh,10519.346027192874,NA,S22000012,079,Edinburgh,210,East Lothian,142707.62698911375
S01001589,Edinburgh,14570.486406398735,NA,S22000012,079,Edinburgh,210,East Lothian,147200.74024646828
S01001590,Edinburgh,8324.690944038162,NA,S22000012,079,Edinburgh,210,East Lothian,46272.40824502759
S01001591,Edinburgh,15825.369372017814,NA,S22000012,079,Edinburgh,210,East Lothian,328028.9988706412
S01001592,Edinburgh,10912.58967324975,NA,S22000012,079,Edinburgh,210,East Lothian,146258.7601879811
S01001593,Edinburgh,9544.532017063253,NA,S22000012,079,Edinburgh,210,East Lothian,372866.0812499323
S01001594,Edinburgh,8426.829181580266,NA,S22000012,079,Edinburgh,210,East Lothian,123068.89592227896
S01001595,Edinburgh,15344.146184258892,NA,S22000012,079,Edinburgh,210,East Lothian,154487.3554642471
S01001596,Edinburgh,9999.849108049173,NA,S22000012,079,Edinburgh,210,East Lothian,132230.47055546293
S01001597,Edinburgh,9040.856894963166,NA,S22000012,079,Edinburgh,210,East Lothian,145486.93115288604
S01001598,Edinburgh,7567.597724485528,NA,S22000012,079,Edinburgh,210,East Lothian,211722.6360005766
S01001599,Edinburgh,8100.058871405295,NA,S22000012,079,Edinburgh,210,East Lothian,90938.01943892747
S01001600,Edinburgh,8480.150614318407,NA,S22000012,079,Edinburgh,210,East Lothian,109365.35663027652
S01001602,Edinburgh,14281.897698680134,NA,S22000012,079,Edinburgh,210,East Lothian,367432.10231430153
S01001603,Edinburgh,14890.902990861508,NA,S22000012,079,Edinburgh,210,East Lothian,304652.3993098853
S01001604,Edinburgh,15414.619103085572,NA,S22000012,079,Edinburgh,210,East Lothian,94370.00017740254
S01001605,Edinburgh,18598.86982995005,NA,S22000012,079,Edinburgh,210,East Lothian,10821155.0835115
S01001606,Edinburgh,8813.3963672386,NA,S22000012,079,Edinburgh,210,East Lothian,305009.4106619023
S01001607,Edinburgh,13285.807981456654,NA,S22000012,079,Edinburgh,210,East Lothian,10963847.124397371
S01001608,Edinburgh,25136.112726676856,NA,S22000012,079,Edinburgh,210,East Lothian,165986.47054960465
S01001609,Edinburgh,26798.875337498423,NA,S22000012,079,Edinburgh,210,East Lothian,134610.23247114438
S01001610,Edinburgh,26018.622852801484,NA,S22000012,079,Edinburgh,210,East Lothian,432402.60104792035
S01001611,Edinburgh,25496.234345440957,NA,S22000012,079,Edinburgh,210,East Lothian,52041226.987690724
S01001612,Edinburgh,24823.771942742813,NA,S22000012,079,Edinburgh,210,East Lothian,385752.89014859265
S01001613,Edinburgh,12645.526059074085,NA,S22000012,079,Edinburgh,210,East Lothian,107230.5808715933
S01001614,Edinburgh,25608.749266845043,NA,S22000012,079,Edinburgh,210,East Lothian,185121.8126610146
S01001615,Edinburgh,26437.628850423596,NA,S22000012,079,Edinburgh,210,East Lothian,305475.7388051598
S01001616,Edinburgh,24225.617763171318,NA,S22000012,079,Edinburgh,210,East Lothian,311683.3278343517
S01001617,Edinburgh,12030.586369879726,NA,S22000012,079,Edinburgh,210,East Lothian,374886.68476135784
S01001618,Edinburgh,33393.39529490832,NA,S22000012,079,Edinburgh,210,East Lothian,21945389.39651885
S01001619,Edinburgh,12976.855994126972,NA,S22000012,079,Edinburgh,210,East Lothian,147026.6816228168
S01001620,Edinburgh,13475.589153023893,NA,S22000012,079,Edinburgh,210,East Lothian,357717.6983320431
S01001621,Edinburgh,14087.42896670238,NA,S22000012,079,Edinburgh,210,East Lothian,109225.53298973764
S01001622,Edinburgh,26125.27220804104,NA,S22000012,079,Edinburgh,210,East Lothian,171750.55571147066
S01001623,Edinburgh,25071.501565726856,NA,S22000012,079,Edinburgh,210,East Lothian,281143.9286387153
S01001624,Edinburgh,25567.854033258205,NA,S22000012,079,Edinburgh,210,East Lothian,241426.71041656614
S01001625,Edinburgh,12885.002645371887,NA,S22000012,079,Edinburgh,210,East Lothian,133290.97596082118
S01001626,Edinburgh,26090.582259660237,NA,S22000012,079,Edinburgh,210,East Lothian,156074.21086494226
S01001627,Edinburgh,13927.763205538347,NA,S22000012,079,Edinburgh,210,East Lothian,293909.5957245643
S01001628,Edinburgh,14246.783102930218,NA,S22000012,079,Edinburgh,210,East Lothian,72524.05174124007
S01001629,Edinburgh,13363.644109825636,NA,S22000012,079,Edinburgh,210,East Lothian,150062.7248130004
S01001630,Edinburgh,13304.51631653855,NA,S22000012,079,Edinburgh,210,East Lothian,96751.27738048331
S01001631,Edinburgh,14058.841372280673,NA,S22000012,079,Edinburgh,210,East Lothian,798675.0166887613
S01001632,Edinburgh,14878.253100184018,NA,S22000012,079,Edinburgh,210,East Lothian,84100.83852876308
S01001633,Edinburgh,19683.89004612604,NA,S22000012,079,Edinburgh,210,East Lothian,7603758.452456349
S01001634,Edinburgh,15233.310999977513,NA,S22000012,079,Edinburgh,210,East Lothian,177139.25143957883
S01001635,Edinburgh,15634.198144076108,NA,S22000012,079,Edinburgh,210,East Lothian,90982.817045868
S01001636,Edinburgh,15898.410592094644,NA,S22000012,079,Edinburgh,210,East Lothian,107734.8220032753
S01001637,Edinburgh,16747.806757798986,NA,S22000012,079,Edinburgh,210,East Lothian,4379699.802863302
S01001638,Edinburgh,14848.612206570417,NA,S22000012,079,Edinburgh,210,East Lothian,157509.39187501714
S01001639,Edinburgh,15409.74092229615,NA,S22000012,079,Edinburgh,210,East Lothian,158420.28002466983
S01001640,Edinburgh,18147.648902053814,NA,S22000012,079,Edinburgh,210,East Lothian,288660.36963915627
S01001642,Edinburgh,20850.40137228442,NA,S22000012,079,Edinburgh,210,East Lothian,5892702.852277222
S01001643,Edinburgh,33363.98547851613,NA,S22000012,079,Edinburgh,210,East Lothian,211471.46700702055
S01001646,Edinburgh,27119.741914040736,NA,S22000012,079,Edinburgh,210,East Lothian,19986823.156376034
S01001652,Edinburgh,33318.4940385896,NA,S22000012,079,Edinburgh,210,East Lothian,21052717.91453311
S01001654,Edinburgh,22554.43769123223,NA,S22000012,079,Edinburgh,210,East Lothian,16567981.20638035
S01001655,Edinburgh,20682.58558808234,NA,S22000012,079,Edinburgh,210,East Lothian,1614679.8114918051
S01001656,Edinburgh,25209.571230571677,NA,S22000012,079,Edinburgh,210,East Lothian,7404243.367602449
S01001657,Edinburgh,35486.633339113614,NA,S22000012,079,Edinburgh,210,East Lothian,32507688.135063488
S01001658,Edinburgh,29915.631358671206,NA,S22000012,079,Edinburgh,210,East Lothian,18789754.35598745
S01001659,Edinburgh,24937.45371458984,NA,S22000012,079,Edinburgh,210,East Lothian,267481.1258588979
S01001660,Edinburgh,24275.64815929668,NA,S22000012,079,Edinburgh,210,East Lothian,823250.9325670113
S01001661,Edinburgh,27115.278157362005,NA,S22000012,079,Edinburgh,210,East Lothian,16033663.110657007
S01001662,Edinburgh,31997.862214059813,NA,S22000012,079,Edinburgh,210,East Lothian,132909.6567411026
S01001663,Edinburgh,31610.812382283337,NA,S22000012,079,Edinburgh,210,East Lothian,467921.3542614795
S01001664,Edinburgh,32989.75524974669,NA,S22000012,079,Edinburgh,210,East Lothian,235495.9673456244
S01001665,Edinburgh,30657.293599974524,NA,S22000012,079,Edinburgh,210,East Lothian,287447.390647148
S01001666,Edinburgh,32348.417745876923,NA,S22000012,079,Edinburgh,210,East Lothian,314604.4065912592
S01001667,Edinburgh,31168.003003831996,NA,S22000012,079,Edinburgh,210,East Lothian,245499.89068139298
S01001668,Edinburgh,30458.774101603016,NA,S22000012,079,Edinburgh,210,East Lothian,986721.0850887734
S01001669,Edinburgh,31887.015489755646,NA,S22000012,079,Edinburgh,210,East Lothian,117328.08124160042
S01001670,Glasgow,16492.48362229229,NA,S22000018,089,Glasgow,220,East Renfrewshire,31797572.816985443
S01001671,Glasgow,14899.61703711635,NA,S22000018,089,Glasgow,220,East Renfrewshire,24379631.82644303
S01001672,Glasgow,13399.85181037073,NA,S22000018,089,Glasgow,220,East Renfrewshire,264104.1452694022
S01001673,Glasgow,13374.579007508179,NA,S22000018,089,Glasgow,220,East Renfrewshire,229091.54500785482
