lsoa,place,distance,area
E01000288,London,15921.9009494574,336994.621118506
E01000289,London,16022.9741829114,281199.886242994
E01000290,London,16678.9333884192,2047212.8303645
E01000291,London,16109.3255372614,249641.390125495
E01000292,London,16743.2942351421,287964.740317004
E01000293,London,16601.2479960346,273515.705672995
E01000294,London,16914.0125787474,331008.794073998
E01000295,London,11333.4274917023,204131.095195004
E01000296,London,11749.5052933919,222092.224350997
E01000297,London,10930.1471160021,231844.879311494
E01000298,London,11566.1381751027,266096.342134003
E01000299,London,12459.887060057,165166.410803999
E01000300,London,12616.5567186587,173529.647934491
E01000301,London,12362.3495039331,287227.939048497
E01000302,London,12200.1014121088,216852.394455015
E01000303,London,12176.9658634627,216552.3395475
E01000304,London,12047.5754880632,177512.979209507
E01000305,London,10618.27744397,688512.99338749
E01000306,London,10720.1739732007,146554.0578665
E01000307,London,10069.5753374159,501871.698813002
E01000308,London,11249.3128811147,528885.287436499
E01000309,London,11254.3986399583,290366.50797
E01000310,London,10305.9028253857,304817.580790497
E01000311,London,10244.9179976482,348938.297697501
E01000312,London,11701.6487703027,146540.986822499
E01000313,London,11069.6984883318,218214.717481003
E01000314,London,10729.644753056,250996.866698001
E01000315,London,11586.9848519186,505399.059771483
E01000316,London,11421.6662937824,406399.356460501
E01000317,London,11875.5855906339,170562.327688494
E01000318,London,11958.0472008151,272297.378916005
E01000319,London,11263.6038176777,158997.946654009
E01000320,London,12990.1303928734,233341.334778986
E01000321,London,13122.1426562722,175209.379967007
E01000322,London,12648.872529252,204733.808269009
E01000323,London,12412.3459901112,214061.043406501
E01000324,London,12260.8587849531,271326.801725496
E01000325,London,21423.9792485169,391338.063499499
E01000326,London,22077.1182886307,273310.748481498
E01000327,London,20680.5871398014,391910.117902501
E01000328,London,21719.7652124513,543335.812251505
E01000329,London,21059.5236977719,481210.992039008
E01000330,London,20667.1945230582,255145.237222998
E01000331,London,21527.2600683264,534151.767611997
E01000332,London,20044.2202675835,278160.057706499
E01000333,London,19727.5293221681,290559.805615496
E01000334,London,19233.7438991376,265024.569396517
E01000335,London,20273.4202913597,1394325.167441
E01000336,London,19586.4476804736,180795.474490003
E01000337,London,19344.9813701918,274764.9080165
E01000338,London,19725.5416486519,173189.404898497
E01000339,London,17030.3246126413,255207.873395999
E01000340,London,16703.7136361767,232495.703490999
E01000341,London,17147.0366546113,242901.853492491
E01000342,London,17025.4757271419,218788.970272004
E01000343,London,17502.1795305487,303000.566956496
E01000344,London,17025.8859867097,226441.513095495
E01000345,London,17437.5638351527,207730.228084503
E01000346,London,18359.3425634141,347919.276565498
E01000347,London,17929.5391657973,196436.707541003
E01000348,London,19325.8148515924,293395.424544504
E01000349,London,19833.788713964,333343.101774994
E01000350,London,17984.7120787507,269378.25777201
E01000351,London,18818.9705009464,312713.043086002
E01000352,London,18548.2678681072,344376.152288496
E01000353,London,19808.9122301358,337781.6016965
E01000354,London,19164.7544599018,205211.024161
E01000355,London,20455.774029307,420584.004905997
E01000356,London,19061.916466622,309499.544950993
E01000357,London,18704.5211029169,201546.851224001
E01000358,London,19651.2480078816,294599.371480001
E01000359,London,18838.9161445388,203764.181545999
E01000360,London,19766.4244709147,439742.358791508
E01000361,London,19413.8742778056,285322.524616505
E01000362,London,20371.5496213285,394429.936223498
E01000363,London,19826.9399456879,418596.749208991
E01000364,London,20698.6173127458,432810.972831496
E01000365,London,20111.888889359,340955.573438497
E01000366,London,19448.2424037957,235830.113199499
E01000367,London,21998.1275567586,261822.8638075
E01000368,London,21968.6705502743,237791.355532497
E01000369,London,21426.2823034361,266031.675643998
E01000370,London,21064.3425038864,325766.304608507
E01000371,London,21694.5314368877,231419.535445499
E01000372,London,21520.1923997403,229300.059509504
E01000373,London,22088.1350400738,89010.0871525004
E01000374,London,23533.06709034,743524.119849988
E01000375,London,23320.3828604909,429243.461672503
E01000376,London,22929.5464969432,549900.600883505
E01000377,London,22409.8440055075,430623.765415507
E01000378,London,22285.5509192488,1261752.47176101
E01000379,London,22900.3720099215,324172.807363992
E01000380,London,22710.937617208,224826.423979498
E01000381,London,20985.1497642942,2056601.33675449
E01000382,London,19622.9024968642,584949.786156489
E01000383,London,21382.3779841872,2786169.73376249
E01000384,London,19557.0642079672,299849.08164401
E01000385,London,20449.4714252455,597349.276733009
E01000386,London,20004.0124566672,551754.850926487
E01000387,London,19776.1998581098,307389.085387998
E01000388,London,17891.579883086,530021.246857497
E01000389,London,18814.8833726592,442224.429965993
E01000390,London,18824.9905845209,544629.900454504
E01000391,London,18126.9747882104,465332.570565011
E01000392,London,17854.8797859998,220892.661094498
E01000393,London,18486.6947868917,276332.248402999
