lsoa,ttwa_code,ttwa_name,change_in_id_share_in_ttwa
E01021892,E30000188,Chelmsford,1.0751492806128967e-4
E01021893,E30000188,Chelmsford,5.266347991243818e-4
E01021894,E30000188,Chelmsford,-4.099785673152608e-4
E01021895,E30000188,Chelmsford,-1.920716860704429e-4
E01021896,E30000188,Chelmsford,2.3409994184816238e-4
E01021897,E30000188,Chelmsford,2.8622943807958177e-4
E01021898,E30000188,Chelmsford,-3.822975523912631e-5
E01021899,E30000188,Chelmsford,1.1595062341098958e-6
E01021900,E30000188,Chelmsford,7.111904791001398e-4
E01021901,E30000188,Chelmsford,1.3405180093786252e-4
E01021902,E30000188,Chelmsford,-2.259515663258706e-4
E01021903,E30000188,Chelmsford,-9.117553072374692e-4
E01021904,E30000188,Chelmsford,5.607157614472484e-4
E01021905,E30000188,Chelmsford,-4.7384166060070003e-4
E01021906,E30000188,Chelmsford,-5.103128095824893e-4
E01021907,E30000188,Chelmsford,-0.002616794257130988
E01021908,E30000188,Chelmsford,-0.001097214136293509
E01021909,E30000188,Chelmsford,-6.900906132328187e-4
E01021910,E30000188,Chelmsford,-4.0850454284201013e-4
E01021911,E30000193,Colchester,5.613618813186598e-4
E01021912,E30000188,Chelmsford,-2.759544340488751e-5
E01021913,E30000188,Chelmsford,-6.936229467027519e-4
E01021914,E30000268,Southend,2.2742053645587656e-4
E01021915,E30000268,Southend,-1.1148598664731672e-4
E01021916,E30000268,Southend,-1.1237283313258019e-4
E01021917,E30000268,Southend,-5.560345757903077e-4
E01021918,E30000268,Southend,5.529473819730678e-5
E01021919,E30000268,Southend,-1.1878766983535556e-4
E01021920,E30000268,Southend,8.849010643928029e-4
E01021921,E30000268,Southend,-8.446609433613108e-4
E01021922,E30000268,Southend,8.299869151200245e-4
E01021923,E30000268,Southend,1.4906436667290728e-5
E01021924,E30000268,Southend,7.556825008207281e-5
E01021925,E30000268,Southend,1.0467460202592382e-4
E01021926,E30000268,Southend,5.176592702015388e-4
E01021927,E30000268,Southend,-1.708116414802875e-4
E01021928,E30000268,Southend,-4.4399086696217784e-5
E01021929,E30000268,Southend,2.3415734101254733e-4
E01021930,E30000268,Southend,1.3710358866469963e-4
E01021931,E30000268,Southend,-5.448449851323963e-5
E01021932,E30000268,Southend,4.7702040445759967e-5
E01021933,E30000268,Southend,2.937596283044317e-4
E01021934,E30000268,Southend,-1.7353514527535712e-5
E01021935,E30000268,Southend,7.630063394685666e-6
E01021936,E30000268,Southend,2.249468849409922e-4
E01021937,E30000268,Southend,2.6080338264080575e-4
E01021938,E30000268,Southend,5.199267165888872e-5
E01021939,E30000268,Southend,2.1895912316958826e-4
E01021940,E30000268,Southend,-1.4625005934304426e-4
E01021941,E30000268,Southend,3.561903407566637e-4
E01021942,E30000268,Southend,6.22069714606766e-4
E01021943,E30000268,Southend,2.48435655945995e-4
E01021944,E30000268,Southend,1.118872666606768e-4
E01021945,E30000268,Southend,-2.0929678707872238e-4
E01021946,E30000268,Southend,-1.1478050141895831e-5
E01021947,E30000268,Southend,9.452383533018317e-5
E01021948,E30000268,Southend,-2.0080057243341805e-4
E01021949,E30000268,Southend,1.219843707182224e-4
E01021950,E30000268,Southend,-2.9118484578673264e-4
E01021951,E30000268,Southend,4.644666026583724e-5
E01021952,E30000268,Southend,1.1080821739911282e-4
E01021953,E30000268,Southend,-0.001407533872655714
E01021954,E30000268,Southend,-3.3267104770778703e-4
E01021955,E30000268,Southend,4.774226041501326e-4
E01021956,E30000268,Southend,-4.018265503287605e-4
E01021957,E30000268,Southend,-0.0012539603965520856
E01021958,E30000268,Southend,2.5330772807857977e-4
E01021959,E30000268,Southend,5.863344238914857e-4
E01021960,E30000268,Southend,3.320628266290201e-4
E01021961,E30000268,Southend,-3.8481593720398276e-4
