dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006561,2006,791.714285714286,503.571428571429,7.57142857142857,1.87003389901429
S01006561,2009,772.571428571429,488.571428571428,15.7142857142857,1.89554429215053
S01006561,2012,773.857142857143,495.571428571429,15.7142857142857,2.28983172999907
S01006562,2004,810.888888888889,450.333333333333,71.7777777777778,12.0533427637556
S01006562,2006,769.111111111111,418.555555555556,64.4444444444444,16.2568059541778
S01006562,2009,791,449,57.7777777777778,15.1516442289489
S01006562,2012,762.444444444444,451.777777777778,47.7777777777778,11.7860860234488
S01006563,2004,941,605.777777777778,26.3333333333333,3.92398294471111
S01006563,2006,866.555555555556,554.333333333333,24.5555555555556,5.9272859339
S01006563,2009,835.777777777778,515,22.2222222222222,5.53448782373856
S01006563,2012,808.222222222222,466.888888888889,26.1111111111111,5.86991772418564
S01006564,2004,938.357142857143,706.642857142857,157.857142857143,21.2496889876429
S01006564,2006,897.714285714286,652.5,128.214285714286,20.9962896187857
S01006564,2009,954.214285714286,690.857142857143,133.928571428571,19.6567653847569
S01006564,2012,977.285714285714,736.785714285714,104.285714285714,19.4214487537855
S01006565,2004,957.928571428571,793.714285714286,80.5,14.5040269229286
S01006565,2006,1000.14285714286,824.714285714286,84.8571428571429,13.5155544414286
S01006565,2009,1115.21428571429,937.571428571429,88.9285714285714,11.6669189055978
S01006565,2012,1209.92857142857,1040.64285714286,70,11.7226810745905
S01006566,2004,798.625,648.875,25.375,6.3953197938875
S01006566,2006,717.75,571.625,30,6.6133619559125
S01006566,2009,738,586.875,28.75,5.58405557943708
S01006566,2012,765,618.125,39.375,7.33728928032775
S01006567,2004,814.307692307692,635.384615384615,130.692307692308,20.6273697269231
S01006567,2006,769.153846153846,577.461538461538,116,22.4368129304615
S01006567,2009,792.153846153846,590.230769230769,121.923076923077,23.614340706172
S01006567,2012,825.076923076923,628.769230769231,111.153846153846,22.6245093541921
S01006568,2004,879.5,741.583333333333,46,7.65042771530833
S01006568,2006,965.416666666667,786.75,39,5.71362591404167
S01006568,2009,1003.33333333333,830.166666666667,30.8333333333333,5.28389853276906
S01006568,2012,1090.66666666667,912.333333333333,40.4166666666667,5.49235547806097
S01006569,2004,581,427,27,6.7483556785125
S01006569,2006,511.75,361.5,31.25,5.8525745632875
S01006569,2009,543.125,390.125,26.25,4.78727325108097
S01006569,2012,541.75,382.25,26.25,4.96006522715815
S01006570,2004,777.375,540.875,23.375,3.041564238975
S01006570,2006,720.5,498.75,23.875,3.5051837633
S01006570,2009,711.125,482,23.75,3.73333190249142
S01006570,2012,751,508.75,19.375,3.84756408734408
S01006571,2004,876.769230769231,605.307692307692,24.5384615384615,2.75316997999231
S01006571,2006,802.538461538462,556.846153846154,23.2307692307692,5.0249513466
S01006571,2009,877.076923076923,620.846153846154,15.3846153846154,3.4968593763077
S01006571,2012,943.769230769231,671.153846153846,15,4.2865770970499
S01006572,2004,912.153846153846,521.692307692308,39.3076923076923,3.92219005843846
S01006572,2006,896.923076923077,534.153846153846,30.4615384615385,4.70370596777692
S01006572,2009,983.923076923077,601.384615384615,21.9230769230769,4.40871468575537
S01006572,2012,980.538461538462,619.538461538462,15,4.20079834047631
S01006573,2004,706,438,0,0.9569583246
S01006573,2006,706,429,7,1.4174953317
S01006573,2009,722,454,10,1.80004170489963
S01006573,2012,795,529,10,2.42893801985857
S01006574,2004,1034,644,24,1.5128715004
S01006574,2006,992,660,25,3.66458045
S01006574,2009,1194,823,15,2.14274008195953
S01006574,2012,1206,833,15,2.55241665545464
S01006575,2004,889.3,618.4,30,2.72746293094
S01006575,2006,833.4,577.1,41.9,5.41287371008
S01006575,2009,858.7,592.7,31.5,4.17775680485523
S01006575,2012,890.4,595.5,23.5,4.01072211191756
S01006576,2004,783.333333333333,555,25.8888888888889,4.10610497455556
S01006576,2006,778,538.222222222222,23.3333333333333,3.48929641308889
S01006576,2009,795.888888888889,548.888888888889,22.7777777777778,3.59880665274784
S01006576,2012,815.444444444444,567.333333333333,16.6666666666667,3.3845833503446
S01006577,2004,823.4,616.1,32.1,3.56601072616
S01006577,2006,781.4,584.4,20.5,3.48444688406
S01006577,2009,746.7,542.2,19.5,2.93958610976618
S01006577,2012,828,581.9,24,3.27389549916407
S01006578,2004,908.315789473684,740.263157894737,56.3684210526316,9.12461981966316
S01006578,2006,886.105263157895,703.894736842105,62.421052631579,8.37005383294737
S01006578,2009,945.736842105263,743.684210526316,59.7368421052632,7.58098330980936
S01006578,2012,963.736842105263,766.210526315789,51.0526315789474,8.21907482362098
S01006579,2004,880.277777777778,743.555555555556,41.7222222222222,7.58830886003889
S01006579,2006,813.944444444445,667.555555555556,44.3888888888889,6.83861008283889
S01006579,2009,863.833333333333,695.888888888889,43.6111111111111,6.08648320129066
S01006579,2012,876.611111111111,704.277777777778,38.8888888888889,6.91079149225399
S01006580,2004,739.4,557.8,17.2,3.16079094444
S01006580,2006,759.4,560.2,24.6,3.77886614566
S01006580,2009,791,591.2,23,2.52155637621456
S01006580,2012,843,635,27,3.05793894684295
S01006581,2004,873.5,538.166666666667,18.8333333333333,2.19763292816667
S01006581,2006,837.166666666667,506.333333333333,17.6666666666667,3.14679211601667
S01006581,2009,874.083333333333,533.333333333333,21.25,2.73275859449332
S01006581,2012,894.333333333333,558.666666666667,20.8333333333333,3.30668446662138
S01006582,2004,760,671,80,13.413086249
S01006582,2006,641,545,108,27.903176311
S01006582,2009,706,606,100,27.2732595347112
S01006582,2012,839,710,80,20.3261113067468
S01006583,2004,654.666666666667,567.333333333333,45.8333333333333,8.67118410704166
S01006583,2006,633.166666666667,529.75,52.3333333333333,13.6216019489833
S01006583,2009,635.083333333333,525.5,43.75,9.96772647775112
S01006583,2012,740.75,614.833333333333,37.0833333333333,9.01803549482312
S01006584,2004,688.181818181818,534.454545454545,54,10.8291074903909
S01006584,2006,617.818181818182,484.454545454545,52,11.9225920690273
S01006584,2009,681,530.545454545455,45.9090909090909,10.3927677036942
S01006584,2012,708.545454545455,551.909090909091,39.0909090909091,9.71651806869152
S01006585,2004,732.6,523.2,136.4,25.21274553741
S01006585,2006,662.4,473.5,123.6,31.10447949902
S01006585,2009,733.4,543.9,127,28.1160967470156
S01006585,2012,767.6,569.2,109,25.6649354364725
S01006586,2004,895,693,88,16.862519358
S01006586,2006,914,674,113,22.796024124
S01006586,2009,1046,793,95,18.0040241346466
S01006586,2012,1100,866,75,17.2878156341563
S01006587,2004,1022,886,186,27.302143816
S01006587,2006,933,786,173,39.0742856
S01006587,2009,1083,929,175,34.3285371674906
S01006587,2012,1138,973,130,28.7431289395552
S01006588,2004,890.333333333333,778.555555555556,72.4444444444444,15.7739256746667
S01006588,2006,821.444444444444,698.111111111111,120.777777777778,24.6496340484444
S01006588,2009,926.222222222222,777.444444444444,91.1111111111111,21.1293177956585
S01006588,2012,1037,882.333333333333,86.6666666666667,18.080802646088
S01006589,2004,877.285714285714,723.785714285714,115.214285714286,21.4890725666429
S01006589,2006,782,635.071428571429,131.142857142857,29.1346946475714
S01006589,2009,850.285714285714,696.5,112.857142857143,25.6648716417112
S01006589,2012,947.142857142857,784.642857142857,110.357142857143,23.3682904298887
S01006590,2004,1022,886,186,27.302143816
S01006590,2006,933,786,173,39.0742856
S01006590,2009,1083,929,175,34.3285371674906
S01006590,2012,1138,973,130,28.7431289395552
S01006591,2004,604.75,475.5,37.5,10.469988418675
S01006591,2006,585.25,451,46.75,11.636725084625
S01006591,2009,599.25,464.5,41.25,8.39374439771894
S01006591,2012,703.75,551.75,43.75,9.67042138444597
S01006592,2004,952,743,38,4.3230668547
S01006592,2006,928,728,39,6.4076384359
S01006592,2009,1074,868,35,4.10679421924527
S01006592,2012,1263,1015,20,3.89990399403733
S01006593,2004,959.777777777778,758.888888888889,54.4444444444444,6.87629762817778
S01006593,2006,928.555555555555,734.444444444444,53.8888888888889,10.0372658985778
S01006593,2009,1075,874.777777777778,50.5555555555556,7.46476565793919
S01006593,2012,1249.11111111111,1010.33333333333,32.2222222222222,6.66026232131709
S01006594,2004,597.875,424.5,25,5.611234158975
S01006594,2006,559.375,386.75,28.5,6.7822966924
S01006594,2009,578.75,399.375,27.5,5.61908395472061
S01006594,2012,601.25,421.125,28.125,6.17877378186714
S01006595,2004,649.6,534.6,51.6,7.34469830731
S01006595,2006,699.7,559.3,51.1,6.59688021101
S01006595,2009,767.7,625,39,4.25767036188353
S01006595,2012,839.8,664.1,38.5,4.75595028163344
S01006596,2004,791,592.111111111111,38.7777777777778,4.83017399214444
S01006596,2006,755.333333333333,556.888888888889,35.1111111111111,5.20921692847778
S01006596,2009,791.666666666667,588,31.1111111111111,3.9550258485495
S01006596,2012,883.444444444444,672.777777777778,23.8888888888889,4.53332537067491
S01006597,2004,677.888888888889,585.333333333333,44.2222222222222,11.0692562588778
S01006597,2006,632.666666666667,534.333333333333,48.5555555555556,10.3747997212
S01006597,2009,627.555555555556,524.444444444444,40.5555555555556,9.78305255910397
S01006597,2012,658.777777777778,544.888888888889,40,10.769541121593
S01006598,2004,844,597.076923076923,33.6923076923077,4.49439755944615
S01006598,2006,782.230769230769,551.307692307692,32.1538461538462,4.83614671656154
S01006598,2009,861.538461538461,617.615384615385,27.6923076923077,3.3128833507946
S01006598,2012,969.692307692308,695.384615384615,14.2307692307692,4.15871485173161
S01006599,2004,861,510.333333333333,91.6666666666667,14.6412559746
S01006599,2006,822.666666666667,517.333333333333,88,15.2139572230333
S01006599,2009,816.333333333333,524.333333333333,76.6666666666667,12.4482726064995
S01006599,2012,851,565.666666666667,78.3333333333333,13.2746515489767
S01006600,2004,1041.75,686.75,74.25,6.8193370215125
